name,headquarters_city,headquarters_state,latitude,longitude
American Express,New York,NY,40.7127281,-74.0060152
Abbott Laboratories,Abbott Park,IL,38.771264099999996,-75.13876534
StoneX Group,New York,NY,40.7127281,-74.0060152
Plains GP Holdings,Houston,TX,29.7589382,-95.3676974
Enterprise Products Partners,Houston,TX,29.7589382,-95.3676974
TIAA,New York,NY,40.7127281,-74.0060152
Oracle,Austin,TX,30.2711286,-97.7436995
Thermo Fisher Scientific,Waltham,MA,42.3756401,-71.2358004
Coca-Cola,Atlanta,GA,33.7489924,-84.3902644
General Dynamics,Reston,VA,38.9583737,-77.3579805
CHS,Inver Grove Heights,MN,44.8479039,-93.0428119
USAA,San Antonio,TX,29.4246002,-98.4951405
Northwestern Mutual,Milwaukee,WI,43.0349931,-87.922497
Nucor,Charlotte,NC,35.2272086,-80.8430827
Exelon,Chicago,IL,41.8755616,-87.6244212
Massachusetts Mutual Life Insurance,Springfield,MA,39.7990175,-89.6439575
Northrop Grumman,Falls Church,VA,38.882334,-77.1710914
3M,St. Paul,MN,53.9446204,-111.2100163
Travelers,New York,NY,40.7127281,-74.0060152
Arrow Electronics,Centennial,CO,39.579155,-104.8769227
Honeywell International,Charlotte,NC,35.2272086,-80.8430827
Dollar General,Goodlettsville,TN,36.3231067,-86.7133302
Qualcomm,San Diego,CA,32.7174202,-117.162772
Capital One Financial,McLean,VA,40.4631789,-88.8196613
TD Synnex,Fremont,CA,37.5482697,-121.988571
Philip Morris International,New York,NY,40.7127281,-74.0060152
World Fuel Services,Miami,FL,25.7741728,-80.19362
Performance Food Group,Richmond,VA,37.5385087,-77.43428
Delta Air Lines,Atlanta,GA,33.7489924,-84.3902644
American Airlines Group,Fort Worth,TX,32.753177,-97.3327459
Netflix,Los Gatos,CA,37.226611,-121.9746797
Paramount Global,New York,NY,40.7127281,-74.0060152
US Foods Holding,Rosemont,IL,41.9941334,-87.8756737
Danaher,Washington,DC,38.8950368,-77.0365427
Jabil,St. Petersburg,FL,59.9606739,30.1586551
Starbucks,Seattle,WA,47.6038321,-122.330062
Mondelez International,Chicago,IL,41.8755616,-87.6244212
Eli Lilly,Indianapolis,IN,39.7683331,-86.1583502
Hewlett Packard Enterprise,Houston,TX,29.7589382,-95.3676974
D.R. Horton,Arlington,TX,32.7355816,-97.1071186
Molina Healthcare,Long Beach,CA,33.7690164,-118.191604
CBRE Group,Dallas,TX,32.7762719,-96.7968559
Micron Technology,Boise,ID,43.6008183,-116.2421086
Broadcom,San Jose,CA,37.3361663,-121.890591
Gilead Sciences,Foster City,CA,37.5600336,-122.2688522
PBF Energy,Parsippany,NJ,40.8578772,-74.4259866
Lennar,Miami,FL,25.7741728,-80.19362
United Natural Foods,Providence,RI,41.8239891,-71.4128343
NRG Energy,Houston,TX,29.7589382,-95.3676974
Nvidia,Santa Clara,CA,37.2333253,-121.6846349
Occidental Petroleum,Houston,TX,29.7589382,-95.3676974
Salesforce,San Francisco,CA,37.7790262,-122.419906
Dollar Tree,Chesapeake,VA,36.7183708,-76.2466798
KKR,New York,NY,40.7127281,-74.0060152
Kraft Heinz,Chicago,IL,41.8755616,-87.6244212
Amgen,Thousand Oaks,CA,34.1705609,-118.8375937
AutoNation,Fort Lauderdale,FL,26.1223084,-80.1433786
Penske Automotive Group,Bloomfield Hills,MI,42.583645,-83.2454883
PayPal Holdings,San Jose,CA,37.3361663,-121.890591
Macy's,New York,NY,40.7127281,-74.0060152
Duke Energy,Charlotte,NC,35.2272086,-80.8430827
United Airlines Holdings,Chicago,IL,41.8755616,-87.6244212
Visa,San Francisco,CA,37.7790262,-122.419906
Rite Aid,Camp Hill,PA,40.2398118,-76.9199742
Cummins,Columbus,IN,39.9622601,-83.0007065
U.S. Bancorp,Minneapolis,MN,44.9772995,-93.2654692
Paccar,Bellevue,WA,47.6144219,-122.192337
McDonald's,Chicago,IL,41.8755616,-87.6244212
Southern,Atlanta,GA,33.7489924,-84.3902644
C.H. Robinson Worldwide,Eden Prairie,MN,44.8546856,-93.470786
Truist Financial,Charlotte,NC,35.2272086,-80.8430827
